5centimeterspersecond,5 Centimeters per Second
beastblood,Beast † Blood
beatless,Beatless
beforethetutorialstartsafewthingsicandotokeepthebossesalive,Before the Tutorial Starts: A Few Things I Can Do to Keep the Bosses Alive
belkawhydontyoubark,"Belka, Why Don't You Bark?"
belle,Belle
berrybrookmiddleschool,Berrybrook Middle School
berserk,Berserk
berserkofgluttony,Berserk of Gluttony
bibliophileprincess,Bibliophile Princess
blackbullet,Black Bullet
blackdungeoncastle,Black Dungeon Castle
blacksummoner,Black Summoner
bladebastard,BLADE & BASTARD
bleach,Bleach
bloomintoyou,Bloom Into You
bloomintoyouregardingsaekisayaka,Bloom Into You: Regarding Saeki Sayaka
bluesteelblasphemer,Bluesteel Blasphemer
bofuriidontwanttogethurtsoillmaxoutmydefense,"Bofuri: I Don't Want to Get Hurt, so I'll Max Out My Defense."
bondandbook,Bond and Book
boogiepop,Boogiepop
boogiepopphantom,Boogiepop Phantom
bookgirl,Book Girl
bottomtiercharactertomozaki,Bottom-Tier Character Tomozaki
bravechronicletheruinmaker,Brave Chronicle: The Ruinmaker
bravestory,Brave Story
brideofthebarriermaster,Bride of the Barrier Master
brunhildthedragonslayer,Brunhild the Dragonslayer
bucknakedinanotherworld,Buck Naked in Another World
bungostraydogs,Bungo Stray Dogs
bungostraydogsanotherstory,Bungo Stray Dogs: Another Story
butarebathestoryofamanturnedintoapig,Butareba -The Story of a Man Turned into a Pig-
byatwistoffateimattendingtheroyalacademyindisguise,"By a Twist of Fate, I'm Attending the Royal Academy in Disguise"
bythegraceofthegods,By the Grace of the Gods
campfirecookinginanotherworldwithmyabsurdskill,Campfire Cooking in Another World with My Absurd Skill
caninedetectivechris,Canine Detective Chris
cansomeonepleaseexplainwhatsgoingon,Can Someone Please Explain What's Going On?!
casefilecompendium,Case File Compendium
catalogofwonders,Catalog of Wonders
cautioushero,Cautious Hero
chainsawman,Chainsaw Man
childrenwhochaselostvoices,Children Who Chase Lost Voices
