5centimeterspersecond,5 Centimeters per Second
loveisdark,Love Is Dark
lovestruckprinceillfighttheheroineformyvillainessfiancee,Lovestruck Prince! I'll Fight the Heroine for My Villainess Fiancée!
loveunderthebluemoon,Love under the Blue Moon
loyalsoldierlustfulbeast,"Loyal Soldier, Lustful Beast"
luciaandtheloomweavingherwaytohappiness,Lucia and the Loom: Weaving Her Way to Happiness
lycorisrecoilmanga,Lycoris Recoil (manga)
maddrax,Maddrax
magicalexplorer,Magical Explorer
magicalexplorerrebornasasidecharacterinafantasydatingsim,Magical Explorer: Reborn as a Side Character in a Fantasy Dating Sim
magicalgirlraisingproject,Magical Girl Raising Project
magicknightoftheoldways,Magic Knight of the Old Ways
magicstonegourmeteatingmagicalpowermademethestrongest,Magic Stone Gourmet: Eating Magical Power Made Me The Strongest
magicuserreborninanotherworld,Magic User Reborn in Another World
magicuserreborninanotherworldasamaxlevelwizard,Magic User: Reborn in Another World as a Max Level Wizard
magistellusbadtrip,Magistellus Bad Trip
maidenoftheneedle,Maiden of the Needle
makeitstopimnotstrongitsjustmysword,Make It Stop! I'm Not Strong… It's Just My Sword!
makingjaminthewoodsmyrelaxinglifestartsinanotherworld,Making Jam in the Woods: My Relaxing Life Starts in Another World
makingmagicthesweetlifeofawitchwhoknowsaninfinitemploophole,Making Magic: The Sweet Life of a Witch Who Knows an Infinite MP Loophole
managementofanovicealchemist,Management of a Novice Alchemist
manwhodoesnttakeoffhisclothes,Man Who Doesn't Take Off His Clothes
maohden,Maohden
mappingthetrashtierskillthatgotmeintoatoptierparty,Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party
mardockscramble,Mardock Scramble
marriagedivorceandbeyondthewhitemageandblackknightsromancereignited,"Marriage, Divorce, and Beyond: The White Mage and Black Knight's Romance Reignited"
masqueradeandthenamelesswomen,Masquerade and the Nameless Women
maytheseleadenbattlegroundsleavenotrace,May These Leaden Battlegrounds Leave No Trace
meageniusiwasrebornintoanotherworldandithinktheyvegotthewrongidea,"Me, a Genius? I Was Reborn into Another World and I Think They've Got the Wrong Idea!"
megumihayashibarasthecharacterstaughtmeeverything,Megumi Hayashibara's The Characters Taught Me Everything
meikyuulabyrinthkingdomatacticalfantasyworldsurvivalguide,"Meikyuu: Labyrinth Kingdom, A Tactical Fantasy World Survival Guide"
melancholyofmechagirl,Melancholy of Mechagirl
metalgearsolid,Metal Gear Solid
metalgearsolidgunsofthepatriot,Metal Gear Solid: Guns of the Patriot
miaandtheforbiddenmedicinereport,Mia and the Forbidden Medicine Report
middleagedbusinessmanariseinanotherworld,"Middle-Aged Businessman, Arise in Another World!"
mikaguraschoolsuite,Mikagura School Suite
minmaxingmytrpgbuildinanotherworld,Min-Maxing My TRPG Build in Another World
mirai,Mirai
mirrorswordandshadowprince,Mirror Sword and Shadow Prince
misssavagefang,Miss Savage Fang
mixedbathinginanotherdimension,Mixed Bathing in Another Dimension
mm9,MM9
moderndungeoncapturestartingwithbrokenskills,Modern Dungeon Capture Starting with Broken Skills
modernvillainess,Modern Villainess
modernvillainessitsnoteasybuildingacorporateempirebeforethecrash,Modern Villainess: It's Not Easy Building a Corporate Empire Before the Crash
monogatari,MONOGATARI
monstergirldoctor,Monster Girl Doctor
monstergirlencyclopedia,Monster Girl Encyclopedia
monsterholic,Monsterholic
monstermusume,Monster Musume
monstermusumethenovel,Monster Musume The Novel
monstermusumethenovelmonstergirlsonthejob,Monster Musume The Novel – Monster Girls on the Job!
monstertamer,Monster Tamer
moonblossomasuratheruthlessreincarnatedmercenaryformstheultimatearmy,Moon Blossom Asura: The Ruthless Reincarnated Mercenary Forms the Ultimate Army
musclesarebetterthanmagic,Muscles are Better Than Magic!
mushokutenseijoblessreincarnation,Mushoku Tensei: Jobless Reincarnation
mushokutenseiredundantreincarnation,Mushoku Tensei: Redundant Reincarnation
mybigsisterlivesinafantasyworld,My Big Sister Lives in a Fantasy World
mydaughterleftthenestandreturnedansrankadventurer,My Daughter Left the Nest and Returned an S-Rank Adventurer
myfavoritesongthesilversiren,My Favorite Song ~The Silver Siren~
myfirstloveskiss,My First Love's Kiss
myfriendslittlesisterhasitinforme,My Friend's Little Sister Has It In for Me!
mygirlfriendsageek,My Girlfriend's a Geek
mygirlfriendsageeknovel,My Girlfriend's a Geek Novel
myhappymarriage,My Happy Marriage
myheroacademia,My Hero Academia
myinstantdeathabilityissooverpowerednooneinthisotherworldstandsachanceagainstme,"My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me!"
mylittlesistercanreadkanji,My Little Sister Can Read Kanji
mymagicalcareeratcourtlivingthedreamaftermynightmarebossfiredmefromthemagesguild,My Magical Career at Court: Living the Dream After My Nightmare Boss Fired Me from the Mages' Guild!
myneighbortotoro,My Neighbor Totoro
mynextlifeasavillainessallroutesleadtodoom,My Next Life as a Villainess: All Routes Lead to Doom!
mypetisasaintess,My Pet is a Saintess
myquietblacksmithlifeinanotherworld,My Quiet Blacksmith Life in Another World
mystatusasanassassinobviouslyexceedstheheros,My Status as an Assassin Obviously Exceeds the Hero's
mystepmomsdaughterismyex,My Stepmom's Daughter Is My Ex
mysummonedbeastisdead,My Summoned Beast Is Dead
myteenromanticcomedysnafu,My Teen Romantic Comedy SNAFU
myuniqueskillmakesmeopevenatlevel1,My Unique Skill Makes Me OP even at Level 1
myyouthromanticcomedyiswrongasiexpected,"My Youth Romantic Comedy Is Wrong, As I Expected"
nappingprincess,Napping Princess
naruto,Naruto
neongenesisevangelionanima,Neon Genesis Evangelion: ANIMA
nialistonthemercilessmaiden,Nia Liston: The Merciless Maiden
nier,NieR
nierautomata,NieR:Automata
nightonthegalacticrailroad,Night on the Galactic Railroad
nisemonogatari,Nisemonogatari
noblevgreylancer,Noble V: Greylancer
nogamenolife,No Game No Life
nogamenolifepracticalwargame,No Game No Life Practical War Game
noonegetspastthisgatekeepertheunwantedwarriorguardshisnewpost,No One Gets Past This Gatekeeper: The Unwanted Warrior Guards His New Post
nowimademonlordhappilyeverafterwithmonstergirlsinmydungeon,Now I'm a Demon Lord! Happily Ever After with Monster Girls in My Dungeon
nowyoureoneofus,Now You're One of Us
observationrecordsofmyfianceethemisadventuresofaselfproclaimedvillainess,Observation Records of My Fiancée: The Misadventures of a Self-Proclaimed Villainess
obsessionsofanotomegamer,Obsessions of an Otome Gamer
occulticnine,Occultic;Nine
ofdragonsandfae,Of Dragons and Fae
ofdragonsandfaeisafairytaleendingpossiblefortheprincessshairstylist,Of Dragons and Fae: Is a Fairy Tale Ending Possible for the Princess's Hairstylist?
officesasakiseries,Office Sasaki Series
onceuponawitchsdeath,Once Upon a Witch's Death
onceuponawitchsdeaththetaleoftheonethousandtearsofjoy,Once Upon a Witch's Death: The Tale of the One Thousand Tears of Joy
onepiece,One Piece
onimonogatari,Onimonogatari
online,Online!
onlyiknowtheghoulsavedtheworld,Only I Know the Ghoul Saved the World
onlytheringfingerknows,Only the Ring Finger Knows
onlythevillainouslordwieldsthepowertolevelup,Only the Villainous Lord Wields the Power to Level Up
onmyojiandtengueyes,Onmyoji and Tengu Eyes
orbitalcloud,Orbital Cloud
orceroica,Orc Eroica
othersidepicnic,Otherside Picnic
otorimonogatari,Otorimonogatari
ourcrappysocialgameclubisgonnamakethemostepicgame,Our Crappy Social Game Club Is Gonna Make the Most Epic Game
ourlastcrusadeortheriseofanewworld,Our Last Crusade or the Rise of a New World
ourlastcrusadeortheriseofanewworldsecretfile,Our Last Crusade or the Rise of a New World: Secret File
outbreakcompany,Outbreak Company
outerragna,Outer Ragna
overlord,Overlord
oversummonedoverpoweredandoverit,"Oversummoned, Overpowered, and Over It!"
owarimonogatari,Owarimonogatari
pandoraheartscaucusrace,PandoraHearts ~Caucus Race~
pastlifecountesspresentlifeotomegamenpc,"Past Life Countess, Present Life Otome Game NPC?!"
payingtowininavrmmo,Paying to Win in a VRMMO
peddlerinanotherworldicangobacktomyworldwheneveriwant,Peddler in Another World: I Can Go Back to My World Whenever I Want!
penguindrum,PENGUINDRUM
penguinhighway,Penguin Highway
perfectblue,Perfect Blue
perryrhodanneo,Perry Rhodan NEO
peterpan,Peter Pan
phantasmjapan,Phantasm Japan
phantomthiefred,Phantom Thief Red
picturelettersfromthecommanderinchief,Picture Letters From the Commander In Chief
planetoftheorcs,Planet of the Orcs
playingdeathgamestoputfoodonthetable,Playing Death Games to Put Food on the Table
prettyboydetectiveclub,Pretty Boy Detective Club
prideandprejudice,Pride and Prejudice
prisonlifeiseasyforavillainess,Prison Life is Easy for a Villainess
privatetutortothedukesdaughter,Private Tutor to the Duke's Daughter
psycome,Psycome
qualiathepurple,Qualia the Purple
rapunzelofthemagicitemshop,Rapunzel of the Magic Item Shop
rascaldoesnotdream,Rascal Does Not Dream
rascaldoesnotdreamofbunnygirlsenpai,Rascal Does Not Dream of Bunny Girl Senpai
ravenoftheinnerpalace,Raven of the Inner Palace
reallife,Real Life
rebornasaspacemercenary,Reborn as a Space Mercenary
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!
rebornasavendingmachineinowwanderthedungeon,"Reborn as a Vending Machine, I Now Wander the Dungeon"
reborntomasterthebladefromherokingtoextaordinarysquire,Reborn to Master the Blade: From Hero-King to Extaordinary Squire
reborntomasterthebladefromherokingtoextraordinarysquire,Reborn to Master the Blade: From Hero-King to Extraordinary Squire ♀
rebuildworld,Rebuild World
recordoflodosswar,Record of Lodoss War
recordofworteniawar,Record of Wortenia War
redefiningthemetaatvrmmoacademy,Redefining the META at VRMMO Academy
redgirls,Red Girls
reflectionofanotherworld,Reflection of Another World
reignofthesevenspellblades,Reign of the Seven Spellblades
reignofthesevenspellbladessideoffire,Reign of the Seven Spellblades: Side of Fire
reincarnatedasadragonhatchling,Reincarnated as a Dragon Hatchling
reincarnatedasanapplethisforbiddenfruitisforeverunblemished,Reincarnated as an Apple: This Forbidden Fruit Is Forever Unblemished!
reincarnatedasasword,Reincarnated as a Sword
reincarnatedasthelastofmykind,Reincarnated as the Last of my Kind
reincarnatedasthepiggydukethistimeimgonnatellherhowifeel,Reincarnated as the Piggy Duke: This Time I'm Gonna Tell Her How I Feel!
reincarnatedintoagameastheherosfriendrunningthekingdombehindthescenes,Reincarnated Into a Game as the Hero's Friend: Running the Kingdom Behind the Scenes
reincarnatedmagewithinferioreyesbreezingthroughthefutureasanoppressedexhero,Reincarnated Mage with Inferior Eyes: Breezing through the Future as an Oppressed Ex-Hero
rerereincarnatorexecutioner,Re:RE — Reincarnator Executioner
resettheimprisonedprincessdreamsofanotherchance,Reset! The Imprisoned Princess Dreams of Another Chance!
restauranttoanotherworld,Restaurant to Another World
returnfromdeath,Return from Death
revolutionaryrepriseoftheblueroseprincess,Revolutionary Reprise of the Blue Rose Princess
rezero,Re:ZERO
rezeroex,Re:ZERO Ex
rezerostartinglifeinanotherworld,Re:ZERO -Starting Life in Another World-
rezerostartinglifeinanotherworldex,Re:ZERO -Starting Life in Another World- Ex
rezerostartinglifeinanotherworldshortstorycollection,Re:ZERO -Starting Life in Another World- Short Story Collection
rezerostartinglifeinanotherworldthefrozenbond,"Re:ZERO -Starting Life in Another World-, The Frozen Bond"
rideyourwave,Ride Your Wave
rikucantbeagoddess,Riku Can't Be a Goddess
rippingsomeoneopenonlymakesthembleed,Ripping Someone Open Only Makes Them Bleed
risingfromashesmydearemperoryoureputtyinmyhands,"Rising from Ashes: My Dear Emperor, You're Putty in My Hands!"
riviereandthelandofprayer,Riviere and the Land of Prayer
rocketgirls,Rocket Girls
rokkabravesofthesixflowers,Rokka: Braves of the Six Flowers
rolloveranddie,ROLL OVER AND DIE
rolloveranddieiwillfightforanordinarylifewithmyloveandcursedsword,ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!
romanceoftheimperialcapitalkotogami,Romance of the Imperial Capital Kotogami
romanceoftheimperialcapitalkotogamiataleoflivingalongsidespirits,Romance of the Imperial Capital Kotogami: A Tale of Living Alongside Spirits
rootdoublebeforecrimeafterdays,Root Double -Before Crime * After Days-
rvingmywayintoexilewithmybelovedcatthisvillainessistrippin,RVing My Way into Exile with My Beloved Cat: This Villainess Is Trippin'
sabikuibisco,Sabikui Bisco
safesoundinthearmsofaneliteknight,Safe & Sound in the Arms of an Elite Knight
saintnoimjustapassingbeasttamer,Saint? No! I'm Just a Passing Beast Tamer!
sarazanmai,Sarazanmai
sasakiandmiyano,Sasaki and Miyano
sasakiandmiyanofirstyears,Sasaki and Miyano: First-Years
sasakiandpeeps,Sasaki and Peeps
satoshikon,Satoshi Kon
saving80000goldinanotherworldformyretirement,"Saving 80,000 Gold in Another World for My Retirement"
scpfoundation,SCP Foundation
scpfoundationiristhroughthelookingglass,SCP Foundation: Iris Through the Looking Glass
secretsofthesilentwitch,Secrets of the Silent Witch
seireigensoukispiritchronicles,Seirei Gensouki: Spirit Chronicles
selfreferenceengine,Self-Reference ENGINE
sentencedtobeahero,Sentenced to Be a Hero
seraphoftheend,Seraph of the End
seraphoftheendgurenichinoseresurrectionatnineteen,Seraph of the End Guren Ichinose Resurrection at Nineteen
seriouslyseekingsisterultimatevampireprincessjustwantslittlesisterplentyofservicewillbeprovided,Seriously Seeking Sister! Ultimate Vampire Princess Just Wants Little Sister; Plenty of Service Will Be Provided!
ses,S:Es
seventh,Seventh
sexiled,Sexiled
sexiledmysexistpartyleaderkickedmeoutsoiteamedupwithamythicalsorceress,"Sexiled: My Sexist Party Leader Kicked Me Out, So I Teamed Up With a Mythical Sorceress!"
sheprofessedherselfpupilofthewiseman,She Professed Herself Pupil of the Wise Man
shesthecutestbutwerejustfriends,She's the Cutest... But We're Just Friends!
shinjuku,Shinjuku
sidebysidedreamers,Side-By-Side Dreamers
sinceiwasabandonedafterreincarnatingiwillcookwithmyfluffyfriends,"Since I Was Abandoned After Reincarnating, I Will Cook With My Fluffy Friends"
sisyphean,Sisyphean
skeletonknightinanotherworld,Skeleton Knight in Another World
slayers,Slayers
slumonline,Slum Online
soimaspidersowhat,"So I'm a Spider, So What?"
sololeveling,Solo Leveling
sorcerousstabberorphenthewaywardjourney,Sorcerous Stabber Orphen: The Wayward Journey
soundeuphonium,Sound! Euphonium
soupforest,Soup Forest
soupforestthestoryofthewomanwhospeakswithanimalsandtheformermercenary,Soup Forest: The Story of the Woman Who Speaks with Animals and the Former Mercenary
soyouwanttolivetheslowlife,So You Want to Live the Slow Life?
soyouwanttolivetheslowlifeaguidetolifeinthebeastlywilds,So You Want to Live the Slow Life? A Guide to Life in the Beastly Wilds
spiceandwolf,Spice and Wolf
spyclassroom,Spy Classroom
spyclassroomshortstorycollection,Spy Classroom Short Story Collection
spyxfamily,Spy x Family
starsofchaos,Stars of Chaos
strawberrypanic,Strawberry Panic
striketheblood,Strike the Blood
strongestgamerletsplayinanotherworld,Strongest Gamer: Let's Play in Another World
stuckinatimeloopwhenallelsefailsbeavillainess,"Stuck in a Time Loop: When All Else Fails, Be a Villainess"
studiochizusbelle,Studio Chizu's BELLE
studioghibli,Studio Ghibli
sugarapplefairytale,Sugar Apple Fairy Tale
summerfireworksandmycorpse,"Summer, Fireworks, and My Corpse"
summerghost,Summer Ghost
supposeakidfromthelastdungeonbooniesmovedtoastartertown,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town
survivalinanotherworldwithmymistress,Survival in Another World with My Mistress!
survivalstrategiesofacorruptaristocrat,Survival Strategies of a Corrupt Aristocrat
survivinginanotherworldasavillainessfoxgirl,Surviving in Another World as a Villainess Fox Girl!
suzume,Suzume
swordartonline,Sword Art Online
swordartonlinealternativecloversregret,Sword Art Online Alternative Clover's Regret
swordartonlinealternativegungaleonline,Sword Art Online Alternative Gun Gale Online
swordartonlineprogressive,Sword Art Online Progressive
swordofthedemonhunter,Sword of the Demon Hunter
swordofthedemonhunterkijingentosho,Sword of the Demon Hunter: Kijin Gentōshō
swordsaintadelssecondchance,Sword Saint Adel's Second Chance
takingmyreincarnationonestepatatimenoonetoldmetherewouldbemonsters,Taking My Reincarnation One Step at a Time: No One Told Me There Would Be Monsters!
tearmoonempire,Tearmoon Empire
tenbilliondaysandonehundredbillionnights,Ten Billion Days and One Hundred Billion Nights
tenchimuyo,Tenchi Muyo!
teogonia,Teogonia
tezcatlipoca,Tezcatlipoca
thattimeigotreincarnatedasaslime,That Time I Got Reincarnated as a Slime
the100girlfriendswhoreallyreallyreallyreallyreallyloveyou,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You"
the100girlfriendswhoreallyreallyreallyreallyreallyloveyousecretlovestory,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You: Secret Love Story"
the100thtimesthecharmshewasexecuted99timessohowdidsheunlocksuperlovemode,"The 100th Time's the Charm: She Was Executed 99 Times, So How Did She Unlock “Super Love” Mode?!"
theabandonedheiressgetsrichwithalchemyandscoresanenemygeneral,The Abandoned Heiress Gets Rich with Alchemy and Scores an Enemy General!
theakibalabyrinthalittletripwithmylittlebig,The Akiba Labyrinth: A Little Trip with My Little Big
thealchemistwhosurvivednowdreamsofaquietcitylife,The Alchemist Who Survived Now Dreams of a Quiet City Life
theancientmagusbride,The Ancient Magus' Bride
theancientmagusbridesupplement,The Ancient Magus' Bride Supplement
theangelnextdoorspoilsmerotten,The Angel Next Door Spoils Me Rotten
theapothecarydiaries,The Apothecary Diaries
theapothecarywitchturneddivorceagent,The Apothecary Witch Turned Divorce Agent
theasteriskwar,The Asterisk War
thebanishedformerherolivesashepleases,The Banished Former Hero Lives as He Pleases
thebeastsmate,The Beast's Mate
theblessingofliefeleavethismagicalletdownalone,The Blessing of Liefe: Leave This Magical Letdown Alone!
thebloodline,The Bloodline
thebookofheroes,The Book of Heroes
theboyandthebeast,The Boy and the Beast
theboywhoruledthemonsters,The Boy Who Ruled the Monsters
thebrideofdemise,The Bride of Demise
thebrillianthealersnewlifeintheshadows,The Brilliant Healer's New Life in the Shadows
thebssituationoftougetsuumidori,The BS Situation of Tougetsu Umidori
thecageofzeus,The Cage of Zeus
thecasefilesofjewelerrichard,The Case Files of Jeweler Richard
thecenturyofblackships,The Century of Black Ships
thechampionsofjusticeandthesupremerulerofevil,The Champions of Justice and the Supreme Ruler of Evil
thecombatbakerandautomatonwaitress,The Combat Baker and Automaton Waitress
thecondemnedvillainessgoesbackintimeandaimstobecometheultimatevillain,The Condemned Villainess Goes Back in Time and Aims to Become the Ultimate Villain
theconquerorfromadyingkingdom,The Conqueror from a Dying Kingdom
thecontractbetweenaspecterandaservant,The Contract Between a Specter and a Servant
thecrownofrutilequartz,The Crown of Rutile Quartz
thecursedprincessandtheluckyknight,The Cursed Princess and the Lucky Knight
thedarkguildmasterssmilewouldfitbest,The Dark Guildmaster's Smile Would Fit Best
thedarkmaidens,The Dark Maidens
thedawnofthewitch,The Dawn of the Witch
thedeathmage,The Death Mage
thedeathoftheskeletonswordsmandominatingasacursedsaint,The Death of the Skeleton Swordsman: Dominating as a Cursed Saint
thedeerking,The Deer King
thedemonswordmasterofexcaliburacademy,The Demon Sword Master of Excalibur Academy
thedetectiveisalreadydead,The Detective Is Already Dead
thedevilisaparttimer,The Devil Is a Part-Timer!
thediaryofamiddleagedsagescarefreelifeinanotherworld,The Diary of a Middle-Aged Sage's Carefree Life in Another World
thedirtywaytodestroythegoddesssheroes,The Dirty Way to Destroy the Goddess's Heroes
thedisabledtyrantsbelovedpetfish,The Disabled Tyrant's Beloved Pet Fish
thedisownedqueensconsultingdetectiveagency,The Disowned Queen's Consulting Detective Agency
thedooverdamselconquersthedragonemperor,The Do-Over Damsel Conquers the Dragon Emperor
thedrabprincesstheblackcatandthesatisfyingbreakup,"The Drab Princess, the Black Cat, and the Satisfying Break-up"
thedragonssoulmateisamushroomprincess,The Dragon's Soulmate is a Mushroom Princess!
theeccentricmasterandthefakelover,The Eccentric Master and the Fake Lover
theeconomicsofprophecy,The Economics of Prophecy
theeminenceinshadow,The Eminence in Shadow
theemperorsladyinwaitingiswantedasabride,The Emperor's Lady-in-Waiting Is Wanted as a Bride
theemptyboxandzerothmaria,The Empty Box and Zeroth Maria
theephemeralscenesofsetsunasjourney,The Ephemeral Scenes of Setsuna's Journey
theepictaleofthereincarnatedprinceherscherik,The Epic Tale of the Reincarnated Prince Herscherik
theevilqueensbeautifulprinciples,The Evil Queen's Beautiful Principles
theexecutionerandherwayoflife,The Executioner and Her Way of Life
theexilednoblerisesastheholykingbefriendingfluffybeastsandaholymaidenwithmyultimatecheatskill,The Exiled Noble Rises as the Holy King: Befriending Fluffy Beasts and a Holy Maiden with My Ultimate Cheat Skill!
theextraordinarytheordinaryandsoap,"The Extraordinary, the Ordinary, and SOAP!"
thefakeherocrashestheparty,The Fake Hero Crashes the Party
thefarawaypaladin,The Faraway Paladin
theformerassassinwhogotreincarnatedasanoblegirl,The Former Assassin Who Got Reincarnated as a Noble Girl
thefrontierlordbeginswithzerosubjects,The Frontier Lord Begins with Zero Subjects
thefruitofevolution,The Fruit of Evolution
thefutureisjapanese,The Future Is Japanese
thegamemasterhasloggedintoanotherworld,The Game Master Has Logged In to Another World
thegardenofwords,The Garden of Words
thegateofsorrows,The Gate of Sorrows
thegeniusprincesguidetoraisinganationoutofdebt,The Genius Prince's Guide to Raising a Nation Out of Debt
thegeniusprincesguidetoraisinganationoutofdebtheyhowabouttreason,"The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?)"
theghostintheshell,The Ghost in the Shell
thegirlisavedonthetrainturnedouttobemychildhoodfriend,The Girl I Saved on the Train Turned Out to Be My Childhood Friend
thegodofnishiyuigahamastation,The God of Nishi-Yuigahama Station
thegreatcleric,The Great Cleric
thegreatestdemonlordisrebornasatypicalnobody,The Greatest Demon Lord Is Reborn as a Typical Nobody
thegreatestmagiciansultimatequestiwokefroma300yearslumbertoaworldofdisappointment,The Greatest Magician's Ultimate Quest: I Woke from a 300 Year Slumber to a World of Disappointment
thegreatestmagicmastersretirementplan,The Greatest Magicmaster's Retirement Plan
theharuhisuzumiyaseries,The Haruhi Suzumiya Series
thehauntedbookstoregatewaytoaparalleluniverse,The Haunted Bookstore – Gateway to a Parallel Universe
theheroandhiselfbrideopenapizzaparlorinanotherworld,The Hero and His Elf Bride Open a Pizza Parlor in Another World
theheroandthesagereincarnatedandengaged,"The Hero and the Sage, Reincarnated and Engaged"
theheroisoverpoweredbutoverlycautious,The Hero Is Overpowered but Overly Cautious
theherolaughswhilewalkingthepathofvengeanceasecondtime,The Hero Laughs While Walking the Path of Vengeance a Second Time
thehiddendungeononlyicanenter,The Hidden Dungeon Only I Can Enter
thehitchhikersguidetotheisekai,The Hitchhiker's Guide to the Isekai
theholygrailoferis,The Holy Grail of Eris
theholyknightsdarkroad,The Holy Knight's Dark Road
thehuskyandhiswhitecatshizun,The Husky and His White Cat Shizun
theidealspongerlife,The Ideal Sponger Life
theillustratedfairytaleprincesscollection,The Illustrated Fairy Tale Princess Collection
theinconvenientlifeofanarousingpriestess,The Inconvenient Life of an Arousing Priestess
theinvinciblelittlelady,The Invincible Little Lady
theinvincibleshovel,The Invincible Shovel
theinvinciblesummonerwhocrawledupfromlevel1wreckingreincarnatorswithmyhiddendungeon,The Invincible Summoner Who Crawled Up from Level 1: Wrecking Reincarnators with My Hidden Dungeon
theinvisiblewallflowermarriesanupstartaristocrataftergettingdumpedforhersister,The Invisible Wallflower Marries an Upstart Aristocrat After Getting Dumped for Her Sister!
theirregularatmagichighschool,The Irregular at Magic High School
theisolator,The Isolator
thekeptmanoftheprincessknight,The Kept Man of the Princess Knight
thekingofthedeadatthedarkpalace,The King of the Dead at the Dark Palace
thelawyerinshizukuishisleepswithawolf,The Lawyer in Shizuku-ishi Sleeps with a Wolf
thelegendarywitchisrebornasanoppressedprincess,The Legendary Witch Is Reborn as an Oppressed Princess
thelordofthesandsoftime,The Lord of the Sands of Time
themagicalrevolutionofthereincarnatedprincessandthegeniusyounglady,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady
themagicianwhorosefromfailure,The Magician Who Rose From Failure
themagicinthisotherworldistoofarbehind,The Magic in this Other World is Too Far Behind!
themasterofragnarokblesserofeinherjar,The Master of Ragnarok & Blesser of Einherjar
themelancholyofmechagirl,The Melancholy of Mechagirl
themimosaconfessions,The Mimosa Confessions
themiraclesofthenamiyageneralstore,The Miracles of the Namiya General Store
themisfitofdemonkingacademy,The Misfit of Demon King Academy
themisfortunedevouringwitchisactuallyavampire,The Misfortune Devouring Witch is Actually a Vampire?!
themosthereticallastbossqueen,The Most Heretical Last Boss Queen
themosthereticallastbossqueenfromvillainesstosavior,The Most Heretical Last Boss Queen: From Villainess to Savior
themostnotorioustalker,"The Most Notorious ""Talker"""
themostnotorioustalkerrunstheworldsgreatestclan,The Most Notorious “Talker” Runs the World's Greatest Clan
themythicalherosotherworldchronicles,The Mythical Hero's Otherworld Chronicles
thenameofthegameisakidnapping,The Name of the Game is a Kidnapping
thenextcontinent,The Next Continent
thenightisshortwalkongirl,"The Night Is Short, Walk on Girl"
thenpcsinthisvillagesimgamemustbereal,The NPCs in this Village Sim Game Must Be Real!
theoblivioussaintcantcontainherpowerforgetmysisterturnsoutiwastherealsaintallalong,The Oblivious Saint Can't Contain Her Power: Forget My Sister! Turns Out I Was the Real Saint All Along!
theobsessedmageandhisbelovedstatuebrideshecannotresisthisseductivevoice,The Obsessed Mage and His Beloved Statue Bride: She Cannot Resist His Seductive Voice
theopportunisticprincesshasalltheanswers,The Opportunistic Princess Has All the Answers
theotherworlderexploringthedungeon,"The Otherworlder, Exploring the Dungeon"
theotherworldsbooksdependonthebeancounter,The Other World's Books Depend on the Bean Counter
theotomeheroinesfightforsurvival,The Otome Heroine's Fight for Survival
theouroboroswave,The Ouroboros Wave
theovertureofeldenring,The Overture of ELDEN RING
theplacepromisedinourearlydays,The Place Promised in Our Early Days
thepoisonkingnowthativegainedultimatepowerthebewitchingbeautiesinmyharemcantgetenoughofme,"The Poison King: Now that I've Gained Ultimate Power, the Bewitching Beauties in My Harem Can't Get Enough of Me"
theprincessofconvenientplotdevices,The Princess of Convenient Plot Devices
theprincesssmile,The Princess' Smile
theprincesssmilethebodydoublebridesearchesforhappinesswiththereclusiveprince,The Princess' Smile: The Body-Double Bride Searches for Happiness with the Reclusive Prince
thereincarnatedprincessspendsanotherdayskippingstoryroutes,The Reincarnated Princess Spends Another Day Skipping Story Routes
thereincarnatedvillainesswontseekrevenge,The Reincarnated Villainess Won't Seek Revenge
thereincarnationofthestrongestexorcistinanotherworld,The Reincarnation of the Strongest Exorcist in Another World
thereincarnatorandthegoblinmaidenshappilyeverafterusingapastlifetokeepajoyfulwife,The Reincarnator and the Goblin Maiden's Happily Ever After: Using a Past Life to Keep a Joyful Wife
therepriseofthespearhero,The Reprise of the Spear Hero
theresnofreakingwayillbeyourloverunless,There's No Freaking Way I'll be Your Lover! Unless…
theresnowayasidecharacterlikemecouldbepopularright,"There's No Way a Side Character Like Me Could Be Popular, Right?"
theretireddemonofthemaxedoutvillage,The Retired Demon of the Maxed-Out Village
therewasnosecretevilfightingorganizationsrslysoimadeonemyself,"There Was No Secret Evil-Fighting Organization (srsly?!), So I Made One MYSELF!"
therisingoftheshieldhero,The Rising of the Shield Hero
theroyalhostagehasvanishedtheblackwolfknightyearnsforthepersecutedprincess,The Royal Hostage Has Vanished: The Black Wolf Knight Yearns for the Persecuted Princess
theryuosworkisneverdone,The Ryuo's Work is Never Done!
thesagaoftanyatheevil,The Saga of Tanya the Evil
thesaintsbelatedhappiness,The Saint's Belated Happiness
thesaintsmagicpowerisomnipotent,The Saint's Magic Power is Omnipotent
thesamuraiandtheprisoner,The Samurai and the Prisoner
thescumvillainsselfsavingsystem,The Scum Villain's Self-Saving System
